API Name,API Function,API Full URL,Query Examples,Description
SEC EDGAR Filings Query API,QueryApi.get_filings(),https://sec-api.io/docs/query-api,"query = { ""query"": ""ticker:TSLA AND filedAt:[2020-01-01 TO 2020-12-31] AND formType:\""10-Q\"""", ""from"": ""0"", ""size"": ""10"", ""sort"": [{ ""filedAt"": { ""order"": ""desc"" } }] }","Use this API to search and filter all 18 million SEC EDGAR filings using parameters like ticker, CIK, form type, filing date, etc. Ideal for retrieving structured filing metadata and accessing all filings dating back to 1993."
Full-Text Search API,FullTextSearchApi.get_filings(),https://sec-api.io/docs/full-text-search-api,"query = { ""query"": '""LPCN 1154""', ""formTypes"": ['8-K', '10-Q'], ""startDate"": '2021-01-01', ""endDate"": '2021-06-14', }",Use this API to search the full text of all SEC filings (including attachments) submitted since 2001. Best for finding specific terms or phrases within filing content and exhibits.
Filing & Exhibit Download API,RenderApi.get_file(),https://sec-api.io/docs/sec-filings-render-api,"filing_8k_html = renderApi.get_file(url_8k_html); excel_file = renderApi.get_file(url_excel_file, return_binary=True)","Use this API to download any SEC filing, exhibit, or attachment in its original format (HTML, XML, PDF, Excel, etc.). Useful for accessing the actual document content."
PDF Generator API,PdfGeneratorApi.get_pdf(),https://sec-api.io/docs/sec-filings-render-api,pdf_10k_filing = pdfGeneratorApi.get_pdf(url_10k_filing),"Use this API to convert any SEC filing or exhibit into a PDF file, preserving all original formatting. Ideal when you need filing content in PDF format."
SEC EDGAR Filings Real-Time Stream API,WebSocket Client (async),https://sec-api.io/docs/stream-api,async with websockets.connect(WS_ENDPOINT) as websocket: message = await websocket.recv(); filings = json.loads(message),Use this API to receive a live stream of newly published SEC filings via WebSockets. Best for real-time monitoring and immediate access to new filings.
XBRL-to-JSON Converter API,XbrlApi.xbrl_to_json(),https://sec-api.io/docs/xbrl-to-json-converter-api,"xbrl_json = xbrlApi.xbrl_to_json(htm_url=""https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm"")",Use this API to parse and convert XBRL financial data from 10-K and 10-Q filings into structured JSON. Best for extracting standardized financial statements and metrics.
10-K/10-Q/8-K Section Extractor API,ExtractorApi.get_section(),https://sec-api.io/docs/sec-filings-item-extraction-api,"section_text = extractorApi.get_section(filing_url_10k, ""1A"", ""text"")","Use this API to extract specific sections from 10-K, 10-Q, and 8-K filings (e.g., Risk Factors, MD&A). Ideal for analyzing particular components of financial reports."
Form ADV API,"FormAdvApi.get_firms(), FormAdvApi.get_direct_owners(), FormAdvApi.get_indirect_owners(), FormAdvApi.get_private_funds(), FormAdvApi.get_individuals(), FormAdvApi.get_brochures()",https://sec-api.io/docs/investment-adviser-and-adv-api,"response = formAdvApi.get_firms({ ""query"": ""Info.FirmCrdNb:361"", ""from"": ""0"", ""size"": ""10"", ""sort"": [{""Info.FirmCrdNb"": {""order"": ""desc""}}], })","Use this API to search Form ADV filings from investment advisers. Access firm details, ownership information, private funds, and individual adviser data."
Insider Trading Data API,InsiderTradingApi.get_data(),https://sec-api.io/docs/insider-ownership-trading-api,"insider_trades = insiderTradingApi.get_data({ ""query"": ""issuer.tradingSymbol:TSLA"" })",Use this API to access insider buy and sell transactions (Form 3/4/5) of public company executives and directors. Best for tracking insider ownership changes.
Form 13F Institutional Holdings Database,Form13FHoldingsApi.get_data(),https://sec-api.io/docs/form-13-f-filings-institutional-holdings-api,"search_params = { ""query"": ""cik:1350694 AND periodOfReport:2024-03-31"", ""from"": ""0"", ""size"": ""10"", ""sort"": [{ ""filedAt"": { ""order"": ""desc"" } }] }","Use this API to access Form 13F holdings data from institutional investors. Great for tracking portfolio holdings of hedge funds, mutual funds, and investment managers."
Form 13F Cover Pages API,Form13FCoverPagesApi.get_data(),https://sec-api.io/docs/form-13-f-filings-institutional-holdings-api,"search_params = { ""query"": ""cik:1698218 AND periodOfReport:[2023-01-1 TO 2024-12-31]"", ""from"": ""0"", ""size"": ""10"", ""sort"": [{ ""filedAt"": { ""order"": ""desc"" }}] }","Use this API to access cover page data from Form 13F filings. Access information about the investment manager or fund including CIK, SEC file number, name, address, etc."
Form 13D/13G API,Form13DGApi.get_data(),https://sec-api.io/docs/form-13d-13g-search-api,"query = { ""query"": ""owners.name:Point72 AND owners.amountAsPercent:[10 TO *]"", ""from"": ""0"", ""size"": ""50"", ""sort"": [ { ""filedAt"": { ""order"": ""desc""  } } ] }",Use this API to search and access Form 13D/G filings for significant ownership stakes. Best for tracking activist investors and major shareholders.
Form N-PORT API,FormNportApi.get_data(),https://sec-api.io/docs/n-port-data-api,"search_params =  { ""query"": ""fundInfo.totAssets:[100000000 TO *]"", ""from"": ""0"", ""size"": ""10"", ""sort"": [{""filedAt"": {""order"": ""desc""}}], }",Use this API to access Form N-PORT filings from investment companies. Best for retrieving data on mutual fund and ETF holdings and assets.
Form N-PX Proxy Voting Records API,"FormNPXApi.get_metadata(), FormNPXApi.get_voting_records()",https://sec-api.io/docs/form-npx-proxy-voting-records-api,"search_params = { ""query"": ""cik:884546"", ""from"": ""0"", ""size"": ""1"", ""sort"": [{""filedAt"": {""order"": ""desc""}}], }",Use this API to access proxy voting records from investment companies. Ideal for analyzing how funds vote on corporate governance issues.
Form S-1/424B4 API,Form_S1_424B4_Api.get_data(),https://sec-api.io/docs/form-s1-424b4-data-search-api,"query = { ""query"": ""ticker:V"", ""from"": ""0"", ""size"": ""50"", ""sort"": [{""filedAt"": {""order"": ""desc""}}], }","Use this API to access standardized data from S-1 registration statements and 424B4 prospectuses. Best for IPO information, offering details, and underwriter data."
Form C API - Crowdfunding Campaigns,FormCApi.get_data(),https://sec-api.io/docs/form-c-crowdfunding-api,"search_params = { ""query"": ""id:*"", ""from"": ""0"", ""size"": ""10"", ""sort"": [{""filedAt"": {""order"": ""desc""}}], }",Use this API to access Form C filings for crowdfunding campaigns. Great for information on small business fundraising through JOBS Act crowdfunding.
Form D API,FormDApi.get_data(),https://sec-api.io/docs/form-d-xml-json-api,"response = formDApi.get_data( { ""query"": ""offeringData.offeringSalesAmounts.totalOfferingAmount:[1000000 TO *]"", ""from"": ""0"", ""size"": ""10"", ""sort"": [{""filedAt"": {""order"": ""desc""}}], } )",Use this API to access Form D filings for private securities offerings. Best for tracking exempt offerings under Regulation D.
Form 8-K Item 4.01 API,Form_8K_Item_X_Api.get_data(),https://sec-api.io/docs/form-8k-data-item4-1-search-api,"item_4_01_request = { ""query"": ""item4_01:* AND filedAt:[2024-01-01 TO 2024-12-31]"", ""from"": ""0"", ""size"": ""50"", ""sort"": [{""filedAt"": {""order"": ""desc""}}], }",Use this API to access auditor and accountant change disclosures from 8-K filings. Best for tracking when and why companies change their auditors.
Form 8-K Item 4.02 API,Form_8K_Item_X_Api.get_data(),https://sec-api.io/docs/form-8k-data-search-api,"item_4_02_request = { ""query"": ""item4_02:* AND filedAt:[2024-01-01 TO 2024-12-31]"", ""from"": ""0"", ""size"": ""50"", ""sort"": [{""filedAt"": {""order"": ""desc""}}], }",Use this API to access financial restatement disclosures from 8-K filings. Helpful for identifying companies that have needed to correct financial reports.
Form 8-K Item 5.02 API,Form_8K_Item_X_Api.get_data(),https://sec-api.io/docs/form-8k-data-item5-2-search-api,"item_5_02_request = { ""query"": ""item5_02:* AND filedAt:[2024-01-01 TO 2024-12-31]"", ""from"": ""0"", ""size"": ""50"", ""sort"": [{""filedAt"": {""order"": ""desc""}}], }","Use this API to access disclosures about changes in directors, executives, and board members from 8-K filings. Best for tracking leadership changes."
Directors & Board Members Data API,DirectorsBoardMembersApi.get_data(),https://sec-api.io/docs/directors-and-board-members-data-api,"query = { ""query"": ""ticker:AMZN"", ""from"": 0, ""size"": 50, ""sort"": [{""filedAt"": {""order"": ""desc""}}], }","Use this API to access information about company directors and board members. Provides details on qualifications, independence, committees, etc."
Executive Compensation Data API,ExecCompApi.get_data(),https://sec-api.io/docs/executive-compensation-api,"result_ticker = execCompApi.get_data(""TSLA"")","Use this API to access standardized compensation data for key executives. Best for analyzing salary, bonus, equity awards, and total compensation packages."
Outstanding Shares & Public Float API,FloatApi.get_float(),https://sec-api.io/docs/outstanding-shares-float-api,"response = floatApi.get_float(ticker=""GOOGL"")",Use this API to access information on the number of outstanding shares and public float of publicly traded companies. Useful for capitalization analysis.
Subsidiary API,SubsidiaryApi.get_data(),https://sec-api.io/docs/subsidiary-api,"query = { ""query"": ""ticker:TSLA"", ""from"": ""0"", ""size"": ""50"", ""sort"": [{""filedAt"": {""order"": ""desc""}}], }",Use this API to access information about company subsidiaries. Helpful for understanding corporate structures and jurisdictions.
SEC Enforcement Actions Database API,SecEnforcementActionsApi.get_data(),https://sec-api.io/docs/sec-enforcement-actions-database-api,"search_params = { ""query"": ""releasedAt:[2024-01-01 TO 2024-12-31]"", ""from"": ""0"", ""size"": ""50"", ""sort"": [{""releasedAt"": {""order"": ""desc""}}], }","Use this API to access SEC enforcement actions data. Best for tracking regulatory violations, penalties, and enforcement trends."
SEC Litigation Releases Database API,SecLitigationsApi.get_data(),https://sec-api.io/docs/sec-litigation-releases-database-api,"searchRequest = { ""query"": ""releasedAt:[2024-01-01 TO 2024-12-31]"", ""from"": ""0"", ""size"": ""50"", ""sort"": [{""releasedAt"": {""order"": ""desc""}}], }",Use this API to access SEC litigation releases. Useful for tracking court cases and legal actions initiated by the SEC.
SEC Administrative Proceedings Database API,SecAdministrativeProceedingsApi.get_data(),https://sec-api.io/docs/sec-administrative-proceedings-database-api,"searchRequest = { ""query"": ""releasedAt:[2024-01-01 TO 2024-12-31]"", ""from"": ""0"", ""size"": ""50"", ""sort"": [{""releasedAt"": {""order"": ""desc""}}], }","Use this API to access SEC administrative proceedings. Best for tracking administrative actions, respondents, and penalties."
AAER Database API,AaerApi.get_data(),https://sec-api.io/docs/aaer-database-api,"query = { ""query"": ""dateTime:[2012-01-01 TO 2020-12-31]"", ""from"": ""0"", ""size"": ""50"", ""sort"": [{""dateTime"": {""order"": ""desc""}}], }",Use this API to access Accounting and Auditing Enforcement Releases (AAERs). Helpful for tracking accounting fraud cases and standards violations.
SRO Filings Database API,SroFilingsApi.get_data(),https://sec-api.io/docs/sro-filings-database-api,"query = { ""query"": ""sro:NASDAQ"", ""from"": ""0"", ""size"": ""10"", ""sort"": [{""issueDate"": {""order"": ""desc""}}], }",Use this API to access filings from Self-Regulatory Organizations like stock exchanges. Best for tracking rule changes and exchange regulations.
CUSIP/CIK/Ticker Mapping API,MappingApi.resolve(),https://sec-api.io/docs/mapping-api,"result1 = mappingApi.resolve(""ticker"", ""TSLA""); result2 = mappingApi.resolve(""cik"", ""1318605"")","Use this API to resolve identifiers like CUSIP, CIK, and ticker symbols to company details. Helpful for entity resolution and mapping between different identifier systems."
EDGAR Entities Database,EdgarEntitiesApi.get_data(),https://sec-api.io/docs/edgar-entities-database-api,"search_request = { ""query"": ""cik:1318605"", ""from"": ""0"", ""size"": ""50"", ""sort"": [{""cikUpdatedAt"": {""order"": ""desc""}}], }","Use this API to access information on over 800,000 EDGAR filing entities. Provides details on CIK, IRS number, state of incorporation, fiscal year end, etc."